domain,ranking,mld_res,mld.ps_res,card_rem,ratio_Rrem,ratio_Arem,jaccard_RR,jaccard_RA,jaccard_AR,jaccard_AA,jaccard_ARrd,jaccard_ARrem,label
mach5.com/products/analyzer/,899873,1.0,0.0,2.0,63.5,65.5,0.0,0.0,0.0,0.0,0.846154,0.804196,0
www.thenatureofmovement.com/wp-wordpress.php,10000000,0.0,0.0,2.0,298.5,313.5,0.0,0.0,0.0,0.0,0.0,0.854545,1
www-01.ibm.com/software/info/ipv6/compliance.jsp,576,1.0,1.0,5.0,172.6,175.8,0.014344,0.014113,0.018634,0.019368,0.784173,0.871106,0
www.dnalounge.com/backstage/src/pos/,720592,0.0,0.0,3.0,24.333333,19.0,0.0,0.0,0.0,0.0,0.0,0.625,0
steamcommunitygifter.zz.mu/,12572,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
www.hewgill.com/pilot/copilot/index-old.html,359561,1.0,0.0,5.0,102.8,105.6,0.0,0.0,0.0,0.0,0.5,0.79346,0
balayagesalons.com/wp-admin/css/www.signin.ebay.co.uk/,10000000,0.0,0.0,5.0,125.8,112.8,0.0,0.0,0.0,0.0,0.0,0.709169,1
www.dcc.uchile.cl/~rbaeza/handbook/hbook.html,21965,1.0,0.0,5.0,137.2,141.0,0.0,0.0,0.0,0.0,0.846154,0.771975,0
members.chello.nl/a.denbroeder4/index.html,84997,1.0,1.0,3.0,119.333333,121.0,0.0,0.0,0.0,0.0,0.684211,0.811558,0
www.paypal.com.cgibin.webcs.login.sumbit15.sxclickhostedbuttonidbcr4ekun92vwu.s-lakhal.com/secure-code47/security/,10000000,0.0,0.0,10.0,218.1,226.1,0.0,0.0,0.0,0.0,0.0,0.788245,1
chorthip.com/includes/js/viewtradeorder.htm,10000000,0.0,0.0,5.0,43.2,41.4,0.0,0.0,0.0,0.0,0.0,0.626923,1
olneyfurniture.com/09uk381/cgi-bin&dispatch=751d31dd6b56b26b29dac2c0e1839e33/,10000000,0.0,0.0,3.0,38.333333,33.333333,0.0,0.0,0.0,0.0,0.0,0.692913,1
gasperosa.com/otomoto/sslotomotopl/index.html,10000000,0.0,0.0,4.0,104.0,101.5,0.0,0.0,0.0,0.0,0.0,0.802632,1
www.angelfire.com/mn2/estuds/,2547,1.0,1.0,1.0,24.0,18.0,0.0,0.0,0.0,0.0,0.636364,0.615385,0
globaledge.msu.edu/ResourceDesk/,5526,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40625,0,0
paypal.fr.cgi-bin.login58574hg89789.allforhimevents.com/paypal.fr/cgi_bin1/040c142be5dada6bab5c0cbfd358fc3f/info.php?cmd=_login-done&login_access=5885d80a13c0db1fsdf8e263sdf663d3faee8db2b24f7b84f1819390b7e2d9283d70f1,10000000,0.0,0.0,10.0,159.3,162.9,0.0,0.0,0.0,0.0,0.0,0.832765,1
www.dmsistemi.com/tsweb/stgeorge/stgeorge/stgeorge/stgeorge/stgeorge/stgeorge/,10000000,0.0,0.0,2.0,265.5,268.5,0.0,0.0,0.0,0.0,0.0,0.68189,1
sourceforge.net/projects/basilisk/,168,1.0,1.0,2.0,35.0,32.5,0.045977,0.036145,0.037037,0.025974,0.666667,0.776316,0
tibia.com.support.w.interia.pl/,646,1.0,1.0,3.0,96.666667,91.0,0.0,0.0,0.0,0.0,0.181818,0.670623,1
phx.corporate-ir.net/phoenix.zhtml?c=120763&amp;p=irol-index,9019,0.0,0.0,5.0,92.0,89.4,0.0,0.0,0.0,0.0,0.0,0.788955,0
tolearn.net/eng360/images/projects/Secure/account/activation/center/paypal.com/uscgi-binwebscrcmd=_login.submit/dispatch=5885d80a13c0db1f8e263663d/3faee8d4026841ac68a446f69dad17fb2afeca3/,10000000,1.0,0.0,16.0,141.375,143.6875,0.0,0.0,0.0,0.0,0.666667,0.778168,1
www.g4tv.com/techtvvault/features/26502/Google_Tips_and_Secrets.html,11657,1.0,1.0,6.0,56.5,52.0,0.002817,0.003049,0.002882,0.003125,0.529412,0.783562,0
www.spyderjacketsamerica.com/page/vote.php?pid=36,10000000,0.0,0.0,4.0,155.75,158.75,0.0,0.0,0.0,0.0,0.0,0.797143,1
ellis-entertainment.com/6287754413/43264726363475426/,10000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
www.66slw.com/js/index.htm?secure.runescape.com/m=weblogin/loginform.ws?mod=www&amp;irfkpejamp;ssl=0&amp;dest,10000000,0.0,0.0,15.0,109.666667,108.0,0.0,0.0,0.0,0.0,0.0,0.785128,1
showcase.netins.net/web/grainvacsinc,269761,1.0,1.0,4.0,153.25,152.0,0.0032,0.004847,0.003221,0.004878,0.714286,0.710084,0
service.confirm.paypal.cmd.cgi-bin.2466sd4f3e654sqd4e6d23sd8ed52s3d24e8d4sd8e74ds4d3d.dsqd56d5e8d25s.fdsf456e6d5sde8d56s4d.d545d4e84d5d.d89d989s8d9ed.548d57s56565d4s5d45sd48s5d5s5ds45d4s5.atknowledge.eu/0df92858dd4b823bef4fb7c27bab8133/,10000000,0.0,0.0,6.0,82.666667,83.0,0.0,0.0,0.0,0.0,0.0,0.710843,1
